timestamp_iso,source,metric,value
2026-07-30T05:01:00.000Z,site,visits_24h,0
2026-07-31T06:01:00.000Z,site,visits_24h,0
2026-08-01T07:01:00.000Z,site,visits_24h,0
2026-08-02T08:01:00.000Z,site,visits_24h,0
2026-07-30T09:01:00.000Z,site,visits_24h,0
2026-07-31T10:01:00.000Z,site,visits_24h,0
2026-08-01T11:01:00.000Z,site,visits_24h,0
2026-08-02T12:01:00.000Z,site,visits_24h,0
2026-07-30T13:01:00.000Z,site,visits_24h,0
2026-07-31T05:01:00.000Z,site,visits_24h,0
2026-08-01T06:01:00.000Z,site,visits_24h,0
2026-08-02T07:01:00.000Z,site,visits_24h,0
2026-07-30T08:01:00.000Z,site,visits_24h,0
2026-07-31T09:01:00.000Z,site,visits_24h,0
2026-08-01T10:01:00.000Z,site,visits_24h,0
2026-08-02T11:01:00.000Z,site,visits_24h,0
2026-07-30T12:01:00.000Z,site,visits_24h,0
2026-07-31T13:01:00.000Z,site,visits_24h,0
2026-08-01T05:01:00.000Z,site,visits_24h,0
2026-08-02T06:01:00.000Z,site,visits_24h,0
2026-07-30T07:01:00.000Z,site,visits_24h,0
2026-07-31T08:01:00.000Z,site,visits_24h,0
2026-08-01T09:01:00.000Z,site,visits_24h,0
2026-08-02T10:01:00.000Z,site,visits_24h,0
2026-07-30T11:01:00.000Z,site,visits_24h,0
2026-07-31T12:01:00.000Z,site,visits_24h,0
2026-08-01T13:01:00.000Z,site,visits_24h,0
2026-08-02T05:01:00.000Z,site,visits_24h,0
2026-07-30T06:01:00.000Z,site,visits_24h,0
2026-07-31T07:01:00.000Z,site,visits_24h,0
2026-08-01T08:01:00.000Z,site,visits_24h,0
2026-08-02T09:01:00.000Z,site,visits_24h,0
2026-07-30T10:01:00.000Z,site,visits_24h,0
2026-07-31T11:01:00.000Z,site,visits_24h,0
2026-08-01T12:01:00.000Z,site,visits_24h,0
2026-08-02T13:01:00.000Z,site,visits_24h,0
2026-07-30T05:01:00.000Z,site,visits_24h,0
2026-07-31T06:01:00.000Z,site,visits_24h,0
2026-08-01T07:01:00.000Z,site,visits_24h,0
2026-08-02T08:01:00.000Z,site,visits_24h,0
2026-07-30T09:01:00.000Z,site,visits_24h,0
2026-07-31T10:01:00.000Z,site,visits_24h,0
2026-08-01T11:01:00.000Z,site,visits_24h,0
2026-08-02T12:01:00.000Z,site,visits_24h,0
2026-07-30T13:01:00.000Z,site,visits_24h,0
2026-07-31T05:01:00.000Z,site,visits_24h,0
2026-08-01T06:01:00.000Z,site,visits_24h,0
2026-08-02T07:01:00.000Z,site,visits_24h,0
2026-07-30T08:01:00.000Z,site,visits_24h,0
2026-07-31T09:01:00.000Z,site,visits_24h,0
